trade_date,spvxtstr,spvxtstr_return,spvxtstr_index
2018-06-22,199348.1000000000,0.0067109654,1.9759523269
2018-06-25,194773.1000000000,-0.0229498049,1.9306046065
2018-06-26,197112.9000000000,0.0120129525,1.9537968680
2018-06-27,196805.4000000000,-0.0015600197,1.9507489065
2018-06-28,196351.3000000000,-0.0023073554,1.9462478355
2018-06-29,198266.2000000000,0.0097524182,1.9652284583
2018-07-02,198894.0000000000,0.0031664500,1.9714512559
2018-07-03,199166.7000000000,0.0013710821,1.9741542774
2018-07-05,200430.6000000000,0.0063459404,1.9866821427
2018-07-06,200677.3000000000,0.0012308500,1.9891274504
2018-07-09,198092.1000000000,-0.0128823738,1.9635027670
2018-07-10,197762.2000000000,-0.0016653870,1.9602327751
2018-07-11,197623.9000000000,-0.0006993247,1.9588619358
2018-07-12,197221.1000000000,-0.0020382150,1.9548693540
2018-07-13,197985.3000000000,0.0038748389,1.9624441579
2018-07-16,198420.3000000000,0.0021971328,1.9667559083
2018-07-17,201438.4000000000,0.0152106412,1.9966715269
2018-07-18,202858.5000000000,0.0070497979,2.0107476575
2018-07-19,201712.6000000000,-0.0056487650,1.9993894165
2018-07-20,202746.8000000000,0.0051270967,2.0096404793
2018-07-23,202789.1000000000,0.0002086346,2.0100597599
2018-07-24,202232.0000000000,-0.0027471891,2.0045377457
2018-07-25,203032.8000000000,0.0039598085,2.0124753313
2018-07-26,203319.8000000000,0.0014135647,2.0153200954
2018-07-27,202197.9000000000,-0.0055179082,2.0041997441
2018-07-30,201499.5000000000,-0.0034540418,1.9972771544
2018-07-31,201939.3000000000,0.0021826357,2.0016364828
2018-08-01,201559.4000000000,-0.0018812584,1.9978708874
2018-08-02,202432.4000000000,0.0043312294,2.0065241245
2018-08-03,203148.2000000000,0.0035359952,2.0136191842
2018-08-06,203655.7000000000,0.0024981762,2.0186495598
2018-08-07,202796.2000000000,-0.0042203582,2.0101301356
2018-08-08,203483.3000000000,0.0033881305,2.0169407189
2018-08-09,203609.9000000000,0.0006221641,2.0181955869
2018-08-10,201568.9000000000,-0.0100240705,1.9979650520
2018-08-13,200716.1000000000,-0.0042308114,1.9895120387
2018-08-14,201699.2000000000,0.0048979628,1.9992565947
2018-08-15,199716.0000000000,-0.0098324634,1.9795989775
2018-08-16,201115.9000000000,0.0070094534,1.9934748843
2018-08-17,201861.8000000000,0.0037088067,2.0008682973
2018-08-20,201339.6000000000,-0.0025869184,1.9956922144
2018-08-21,200903.4000000000,-0.0021664889,1.9913685694
2018-08-22,203065.9000000000,0.0107638796,2.0128034209
2018-08-23,203654.9000000000,0.0029005362,2.0186416301
2018-08-24,203985.6000000000,0.0016238254,2.0219195517
2018-08-27,204142.2000000000,0.0007677012,2.0234717818
2018-08-28,205584.0000000000,0.0070627239,2.0377630044
2018-08-29,206507.2000000000,0.0044906218,2.0469138274
2018-08-30,206257.2000000000,-0.0012106115,2.0444358099
2018-08-31,206259.7000000000,0.0000121208,2.0444605901
2018-09-04,205546.1000000000,-0.0034597161,2.0373873369
2018-09-05,205909.1000000000,0.0017660272,2.0409854184
2018-09-06,205910.3000000000,0.0000058278,2.0409973128
2018-09-07,205890.0000000000,-0.0000985866,2.0407960978
2018-09-10,206205.5000000000,0.0015323717,2.0439233559
2018-09-11,205513.3000000000,-0.0033568455,2.0370622210
2018-09-12,205030.3000000000,-0.0023502129,2.0322746912
